,Lineup
4387,"['Jose Berrios (15257965)', 'Max Scherzer (15257957)', 'Willson Contreras (15258020)', 'Mitch Moreland (15258080)', 'Luis Urias (15258105)', 'Manny Machado (15258022)', 'Adalberto Mondesi (15258218)', 'Daulton Varsho (15258498)', 'Jorge Soler (15258074)', 'Max Kepler (15258061)']"
4388,"['Adrian Houser (15258614)', 'Max Scherzer (15257957)', 'Omar Narvaez (15258140)', 'Luke Voit (15258071)', 'Adam Frazier (15258194)', 'Bobby Dalbec (15258279)', 'Corey Seager (15257993)', 'Tyler Naquin (15258296)', 'Trent Grisham (15258083)', 'Christian Yelich (15258006)']"
4389,"['Walker Buehler (15258586)', 'Triston McKenzie (15257970)', 'Willson Contreras (15258020)', 'Howie Kendrick (15258070)', 'Tyler Wade (15258388)', 'Manny Machado (15258022)', 'Javier Baez (15258058)', 'Christian Yelich (15258006)', 'Randy Arozarena (15258226)', 'Trent Grisham (15258083)']"
4390,"['Walker Buehler (15258586)', 'Jordan Montgomery (15257966)', 'Daulton Varsho (15258498)', 'Bobby Dalbec (15258279)', 'Jake Cronenworth (15258100)', 'DJ LeMahieu (15258035)', 'Javier Baez (15258058)', 'Christian Yelich (15258006)', 'Wil Myers (15258127)', 'Mookie Betts (15257977)']"
4391,"['Kyle Hendricks (15257963)', 'Walker Buehler (15258586)', 'Willson Contreras (15258020)', 'Mitch Moreland (15258080)', 'Jonathan Schoop (15258064)', 'Bobby Dalbec (15258279)', 'Adalberto Mondesi (15258218)', 'Christian Yelich (15258006)', 'Adam Frazier (15258194)', 'Aaron Hicks (15258148)']"
4392,"['Jose Berrios (15257965)', 'Triston McKenzie (15257970)', 'Willson Contreras (15258020)', 'Shohei Ohtani (15258029)', 'Cesar Hernandez (15258088)', 'DJ LeMahieu (15258035)', 'Javier Baez (15258058)', 'Max Kepler (15258061)', 'Trent Grisham (15258083)', 'Christian Yelich (15258006)']"
4393,"['Jose Berrios (15257965)', 'Dinelson Lamet (15257959)', 'Yasmani Grandal (15258024)', 'Michael Chavis (15258110)', 'Keston Hiura (15258000)', 'Josh Donaldson (15258175)', 'Javier Baez (15258058)', 'Daulton Varsho (15258498)', 'Trent Grisham (15258083)', 'Shohei Ohtani (15258029)']"
4394,"['Jose Berrios (15257965)', 'Adrian Houser (15258614)', 'Willson Contreras (15258020)', 'Mitch Moreland (15258080)', 'Kevin Newman (15258129)', 'Manny Machado (15258022)', 'Javier Baez (15258058)', 'Trent Grisham (15258083)', 'Max Kepler (15258061)', 'Ian Happ (15258086)']"
4395,"['Max Scherzer (15257957)', 'Adrian Houser (15258614)', 'Gary Sanchez (15258079)', 'Shohei Ohtani (15258029)', 'Jose Peraza (15258324)', 'Manny Machado (15258022)', 'Tyler Wade (15258388)', 'Christian Yelich (15258006)', 'Wil Myers (15258127)', 'Adam Eaton (15258124)']"
4396,"['Walker Buehler (15258586)', 'Kyle Hendricks (15257963)', 'Gary Sanchez (15258079)', 'Bobby Dalbec (15258279)', 'Cesar Hernandez (15258088)', 'Bobby Dalbec (15258279)', 'Xander Bogaerts (15258001)', 'Cody Bellinger (15257984)', 'Gregory Polanco (15258267)', 'Franmil Reyes (15258094)']"
4397,"['Kyle Hendricks (15257963)', 'Jose Berrios (15257965)', 'Willson Contreras (15258020)', 'Carlos Santana (15258097)', 'Jose Peraza (15258324)', 'Manny Machado (15258022)', 'Xander Bogaerts (15258001)', 'Trent Grisham (15258083)', 'Christian Yelich (15258006)', 'Jose Peraza (15258324)']"
4398,"['Triston McKenzie (15257970)', 'Kyle Hendricks (15257963)', 'Daulton Varsho (15258498)', 'Mitch Moreland (15258080)', 'Keston Hiura (15258000)', 'Jose Ramirez (15258011)', 'Francisco Lindor (15258007)', 'Juan Soto (15257981)', 'Daulton Varsho (15258498)', 'Christian Yelich (15258006)']"
4399,"['Max Scherzer (15257957)', 'Walker Buehler (15258586)', 'Omar Narvaez (15258140)', 'Bobby Dalbec (15258279)', 'DJ LeMahieu (15258035)', 'Manny Machado (15258022)', 'Kevin Newman (15258129)', 'Victor Reyes (15258186)', 'Christian Yelich (15258006)', 'Jose Peraza (15258324)']"
4400,"['Kyle Hendricks (15257963)', 'Max Scherzer (15257957)', 'J.T. Realmuto (15258010)', 'Edwin Encarnacion (15258102)', 'Jose Peraza (15258324)', 'Jose Ramirez (15258011)', 'Xander Bogaerts (15258001)', 'Jurickson Profar (15258158)', 'Tyler Naquin (15258296)', 'Aaron Hicks (15258148)']"
4401,"['Dinelson Lamet (15257959)', 'Jordan Montgomery (15257966)', 'Willson Contreras (15258020)', 'Shohei Ohtani (15258029)', 'Adam Frazier (15258194)', 'Josh Donaldson (15258175)', 'Trea Turner (15257986)', 'Max Kepler (15258061)', 'Ian Happ (15258086)', 'Victor Reyes (15258186)']"
4402,"['Dinelson Lamet (15257959)', 'Jordan Montgomery (15257966)', 'Daulton Varsho (15258498)', 'Mitch Moreland (15258080)', 'Adam Frazier (15258194)', 'Josh Donaldson (15258175)', 'Francisco Lindor (15258007)', 'Juan Soto (15257981)', 'Max Kepler (15258061)', 'Christian Yelich (15258006)']"
4403,"['Jose Berrios (15257965)', 'Max Scherzer (15257957)', 'Willson Contreras (15258020)', 'Luke Voit (15258071)', 'Adam Frazier (15258194)', 'Jose Ramirez (15258011)', 'Javier Baez (15258058)', 'Wil Myers (15258127)', 'Daulton Varsho (15258498)', 'Christian Yelich (15258006)']"
4404,"['Kyle Hendricks (15257963)', 'Max Scherzer (15257957)', 'Omar Narvaez (15258140)', 'Howie Kendrick (15258070)', 'Jonathan Schoop (15258064)', ""Ke'Bryan Hayes (15258566)"", 'Javier Baez (15258058)', 'Victor Reyes (15258186)', 'Christian Yelich (15258006)', 'Shohei Ohtani (15258029)']"
4405,"['Walker Buehler (15258586)', 'Triston McKenzie (15257970)', 'Roberto Perez (15258281)', 'Mitch Moreland (15258080)', 'DJ LeMahieu (15258035)', 'Jose Ramirez (15258011)', 'Xander Bogaerts (15258001)', 'Randy Arozarena (15258226)', 'Victor Reyes (15258186)', 'Christian Yelich (15258006)']"
4406,"['Jose Berrios (15257965)', 'Dinelson Lamet (15257959)', 'Omar Narvaez (15258140)', 'Mitch Moreland (15258080)', 'Jake Cronenworth (15258100)', 'Josh Donaldson (15258175)', 'Francisco Lindor (15258007)', 'Manuel Margot (15258268)', 'Christian Yelich (15258006)', 'Max Kepler (15258061)']"
4407,"['Jose Berrios (15257965)', 'Max Scherzer (15257957)', 'Willson Contreras (15258020)', 'Michael Chavis (15258110)', 'Adam Frazier (15258194)', 'Bobby Dalbec (15258279)', 'Javier Baez (15258058)', 'Jorge Soler (15258074)', 'J.D. Martinez (15258003)', 'Wil Myers (15258127)']"
4408,"['Max Scherzer (15257957)', 'Jose Berrios (15257965)', 'Daulton Varsho (15258498)', 'Luke Voit (15258071)', 'Cesar Hernandez (15258088)', 'Bobby Dalbec (15258279)', 'Javier Baez (15258058)', 'Max Kepler (15258061)', 'Mookie Betts (15257977)', 'Franmil Reyes (15258094)']"
4409,"['Max Scherzer (15257957)', 'Jose Berrios (15257965)', 'Roberto Perez (15258281)', 'Miguel Cabrera (15258142)', 'Jake Cronenworth (15258100)', 'Jose Ramirez (15258011)', 'Adalberto Mondesi (15258218)', 'Ian Happ (15258086)', 'Christian Yelich (15258006)', 'Franmil Reyes (15258094)']"
4410,"['Jose Berrios (15257965)', 'Walker Buehler (15258586)', 'Willson Contreras (15258020)', 'Josh Bell (15258155)', 'Cesar Hernandez (15258088)', 'Josh Donaldson (15258175)', 'Francisco Lindor (15258007)', 'Trent Grisham (15258083)', 'Christian Yelich (15258006)', 'Tyler Naquin (15258296)']"
4411,"['Jose Berrios (15257965)', 'Triston McKenzie (15257970)', 'Willson Contreras (15258020)', 'Max Muncy (15257988)', 'Jose Peraza (15258324)', 'Jose Ramirez (15258011)', 'Trea Turner (15257986)', 'Juan Soto (15257981)', 'Franmil Reyes (15258094)', 'Tyler Naquin (15258296)']"
4412,"['Adrian Houser (15258614)', 'Walker Buehler (15258586)', 'Yasmani Grandal (15258024)', 'Justin Smoak (15258112)', 'Kevin Newman (15258129)', 'Josh Donaldson (15258175)', 'Javier Baez (15258058)', 'Trent Grisham (15258083)', 'Jay Bruce (15258298)', 'Christian Yelich (15258006)']"
4413,"['Dinelson Lamet (15257959)', 'Triston McKenzie (15257970)', 'Daulton Varsho (15258498)', 'Mitch Moreland (15258080)', 'Keston Hiura (15258000)', 'Jose Ramirez (15258011)', 'Trea Turner (15257986)', 'Max Kepler (15258061)', 'Victor Reyes (15258186)', 'Wil Myers (15258127)']"
4414,"['Jordan Montgomery (15257966)', 'Dinelson Lamet (15257959)', 'Omar Narvaez (15258140)', 'Mitch Moreland (15258080)', 'Joey Wendle (15258122)', 'Jose Ramirez (15258011)', 'Jorge Polanco (15258025)', 'Tyler Naquin (15258296)', 'Juan Soto (15257981)', 'Wil Myers (15258127)']"
4415,"['Jose Berrios (15257965)', 'Walker Buehler (15258586)', 'Jacob Stallings (15258258)', 'Bobby Dalbec (15258279)', 'Adam Frazier (15258194)', 'Jose Ramirez (15258011)', 'Trea Turner (15257986)', 'Jorge Soler (15258074)', 'Christian Yelich (15258006)', 'Wil Myers (15258127)']"
4416,"['Jose Berrios (15257965)', 'Walker Buehler (15258586)', 'Willson Contreras (15258020)', 'Shohei Ohtani (15258029)', 'Luis Urias (15258105)', 'Josh Donaldson (15258175)', 'Javier Baez (15258058)', 'Wil Myers (15258127)', 'Mike Tauchman (15258190)', 'Avisail Garcia (15258163)']"
4417,"['Dinelson Lamet (15257959)', 'Kyle Hendricks (15257963)', 'Omar Narvaez (15258140)', 'Luke Voit (15258071)', 'Keston Hiura (15258000)', 'Bobby Dalbec (15258279)', 'Francisco Lindor (15258007)', 'Christian Yelich (15258006)', 'Jose Peraza (15258324)', 'Randy Arozarena (15258226)']"
4418,"['Charlie Morton (15257964)', 'Max Scherzer (15257957)', 'Jacob Stallings (15258258)', 'Eric Hosmer (15258062)', 'Cesar Hernandez (15258088)', 'Bobby Dalbec (15258279)', 'Javier Baez (15258058)', 'J.D. Martinez (15258003)', 'Wil Myers (15258127)', 'Trent Grisham (15258083)']"
4419,"['Walker Buehler (15258586)', 'Triston McKenzie (15257970)', 'Gary Sanchez (15258079)', 'Howie Kendrick (15258070)', 'Jake Cronenworth (15258100)', 'Jose Ramirez (15258011)', 'Adalberto Mondesi (15258218)', 'Max Kepler (15258061)', 'Trent Grisham (15258083)', 'J.D. Martinez (15258003)']"
4420,"['Max Scherzer (15257957)', 'Adrian Houser (15258614)', 'Omar Narvaez (15258140)', 'Mitch Moreland (15258080)', 'Jonathan Schoop (15258064)', 'Jose Ramirez (15258011)', 'Adalberto Mondesi (15258218)', 'Alex Gordon (15258463)', 'Cody Bellinger (15257984)', 'Eddie Rosario (15258085)']"
4421,"['Kyle Hendricks (15257963)', 'Max Scherzer (15257957)', 'Daulton Varsho (15258498)', 'Shohei Ohtani (15258029)', 'Kevin Newman (15258129)', 'Josh Donaldson (15258175)', 'Francisco Lindor (15258007)', 'Shohei Ohtani (15258029)', 'Ian Happ (15258086)', 'Jurickson Profar (15258158)']"
4422,"['Walker Buehler (15258586)', 'Kyle Hendricks (15257963)', 'Daulton Varsho (15258498)', 'Josh Bell (15258155)', 'Jake Cronenworth (15258100)', 'DJ LeMahieu (15258035)', 'Francisco Lindor (15258007)', 'Hunter Renfroe (15258151)', 'J.D. Martinez (15258003)', 'Ian Happ (15258086)']"
4423,"['Max Scherzer (15257957)', 'Dinelson Lamet (15257959)', 'Roberto Perez (15258281)', 'Carlos Santana (15258097)', 'Michael Chavis (15258110)', 'Josh Donaldson (15258175)', 'Javier Baez (15258058)', 'Adam Frazier (15258194)', 'Wil Myers (15258127)', 'J.D. Martinez (15258003)']"
4424,"['Max Scherzer (15257957)', 'Adrian Houser (15258614)', 'J.T. Realmuto (15258010)', 'Mitch Moreland (15258080)', 'Jose Peraza (15258324)', 'Bobby Dalbec (15258279)', 'Adalberto Mondesi (15258218)', 'Max Kepler (15258061)', 'Cody Bellinger (15257984)', 'Wil Myers (15258127)']"
4425,"['Jose Berrios (15257965)', 'Jordan Montgomery (15257966)', 'Willson Contreras (15258020)', 'Mitch Moreland (15258080)', 'Luis Urias (15258105)', 'Jose Ramirez (15258011)', 'Trea Turner (15257986)', 'Franmil Reyes (15258094)', 'Christian Yelich (15258006)', 'Gregory Polanco (15258267)']"
4426,"['Max Scherzer (15257957)', 'Charlie Morton (15257964)', 'Omar Narvaez (15258140)', 'Carlos Santana (15258097)', 'Keston Hiura (15258000)', 'Jose Ramirez (15258011)', 'Andrelton Simmons (15258141)', 'Eddie Rosario (15258085)', 'Aaron Hicks (15258148)', 'Manuel Margot (15258268)']"
4427,"['Jose Berrios (15257965)', 'Max Scherzer (15257957)', 'Jacob Stallings (15258258)', 'Max Muncy (15257988)', 'Luis Urias (15258105)', 'Jose Ramirez (15258011)', 'Adalberto Mondesi (15258218)', 'Franmil Reyes (15258094)', 'Ben Gamel (15258252)', 'Christian Yelich (15258006)']"
4428,"['Max Scherzer (15257957)', 'Adrian Houser (15258614)', 'Omar Narvaez (15258140)', 'Shohei Ohtani (15258029)', 'Jake Cronenworth (15258100)', 'Josh Donaldson (15258175)', 'Corey Seager (15257993)', 'Victor Reyes (15258186)', 'Shohei Ohtani (15258029)', 'Jay Bruce (15258298)']"
4429,"['Max Scherzer (15257957)', 'Walker Buehler (15258586)', 'Roberto Perez (15258281)', 'Mitch Moreland (15258080)', 'Luis Urias (15258105)', 'Jose Ramirez (15258011)', 'Francisco Lindor (15258007)', 'Ian Happ (15258086)', 'Tyler Naquin (15258296)', 'Daulton Varsho (15258498)']"
4430,"['Dinelson Lamet (15257959)', 'Charlie Morton (15257964)', 'Willson Contreras (15258020)', 'Luke Voit (15258071)', 'Jake Cronenworth (15258100)', 'Josh Donaldson (15258175)', 'Didi Gregorius (15258059)', 'Trent Grisham (15258083)', 'Victor Robles (15258396)', 'Ian Happ (15258086)']"
4431,"['Max Scherzer (15257957)', 'Reynaldo Lopez (15257973)', 'Daulton Varsho (15258498)', 'Carlos Santana (15258097)', 'Jake Cronenworth (15258100)', 'Jose Ramirez (15258011)', 'Trea Turner (15257986)', 'Christian Yelich (15258006)', 'Max Kepler (15258061)', 'Trent Grisham (15258083)']"
4432,"['Charlie Morton (15257964)', 'Dinelson Lamet (15257959)', 'Jacob Stallings (15258258)', 'Eric Hosmer (15258062)', 'DJ LeMahieu (15258035)', 'Max Muncy (15257988)', 'Javier Baez (15258058)', 'Mike Tauchman (15258190)', 'Jose Peraza (15258324)', 'Christian Yelich (15258006)']"
4433,"['Max Scherzer (15257957)', 'Triston McKenzie (15257970)', 'Gary Sanchez (15258079)', 'Jeimer Candelario (15258107)', 'Jake Cronenworth (15258100)', 'DJ LeMahieu (15258035)', 'Nick Ahmed (15258052)', 'Christian Yelich (15258006)', 'J.D. Martinez (15258003)', 'Daulton Varsho (15258498)']"
4434,"['Jose Berrios (15257965)', 'Walker Buehler (15258586)', 'Roberto Perez (15258281)', 'Luke Voit (15258071)', 'Cesar Hernandez (15258088)', 'Bobby Dalbec (15258279)', 'Javier Baez (15258058)', 'Christian Yelich (15258006)', 'Max Kepler (15258061)', 'Trent Grisham (15258083)']"
4435,"['Jordan Montgomery (15257966)', 'Max Scherzer (15257957)', 'Roberto Perez (15258281)', 'Mitch Moreland (15258080)', 'Jake Cronenworth (15258100)', 'Josh Donaldson (15258175)', 'Javier Baez (15258058)', 'Trent Grisham (15258083)', 'Alex Verdugo (15258039)', 'Cody Bellinger (15257984)']"
4436,"['Walker Buehler (15258586)', 'Kyle Hendricks (15257963)', 'Gary Sanchez (15258079)', 'Cody Bellinger (15257984)', 'Jake Cronenworth (15258100)', 'Josh Donaldson (15258175)', 'Adalberto Mondesi (15258218)', 'Shohei Ohtani (15258029)', 'Eddie Rosario (15258085)', 'Josh Naylor (15258539)']"
4437,"['Dinelson Lamet (15257959)', 'Adrian Houser (15258614)', 'Roberto Perez (15258281)', 'Luke Voit (15258071)', 'Michael Chavis (15258110)', 'Jose Ramirez (15258011)', 'Adalberto Mondesi (15258218)', 'J.D. Martinez (15258003)', 'Victor Reyes (15258186)', 'Christian Yelich (15258006)']"
4438,"['Kyle Hendricks (15257963)', 'Walker Buehler (15258586)', 'Austin Romine (15258143)', 'Mitch Moreland (15258080)', 'Keston Hiura (15258000)', 'Manny Machado (15258022)', 'Javier Baez (15258058)', 'Josh Naylor (15258539)', 'Daulton Varsho (15258498)', 'Christian Yelich (15258006)']"
4439,"['Max Scherzer (15257957)', 'Jose Berrios (15257965)', 'Kurt Suzuki (15258087)', 'Eric Hosmer (15258062)', 'Luis Urias (15258105)', 'Manny Machado (15258022)', 'Francisco Lindor (15258007)', 'Christian Yelich (15258006)', 'Jose Peraza (15258324)', 'Victor Robles (15258396)']"
4440,"['Triston McKenzie (15257970)', 'Dinelson Lamet (15257959)', 'Roberto Perez (15258281)', 'Cody Bellinger (15257984)', 'Adam Frazier (15258194)', 'Jose Ramirez (15258011)', 'Francisco Lindor (15258007)', 'Trent Grisham (15258083)', 'Hunter Renfroe (15258151)', 'Christian Yelich (15258006)']"
4441,"['Jose Berrios (15257965)', 'Adrian Houser (15258614)', 'Gary Sanchez (15258079)', 'Josh Bell (15258155)', 'Luis Urias (15258105)', 'Jose Ramirez (15258011)', 'Javier Baez (15258058)', 'Juan Soto (15257981)', 'Trent Grisham (15258083)', 'Adam Frazier (15258194)']"
4442,"['Jose Berrios (15257965)', 'Max Scherzer (15257957)', 'Yasmani Grandal (15258024)', 'Bobby Dalbec (15258279)', 'Keston Hiura (15258000)', 'Jose Ramirez (15258011)', 'Kevin Newman (15258129)', 'Trent Grisham (15258083)', 'Daulton Varsho (15258498)', 'Shohei Ohtani (15258029)']"
4443,"['Jose Berrios (15257965)', 'Walker Buehler (15258586)', 'Daulton Varsho (15258498)', 'Michael Chavis (15258110)', 'Jake Cronenworth (15258100)', 'Luis Urias (15258105)', 'Francisco Lindor (15258007)', 'Ian Happ (15258086)', 'Trent Grisham (15258083)', 'J.D. Martinez (15258003)']"
4444,"['Jose Berrios (15257965)', 'Max Scherzer (15257957)', 'Willson Contreras (15258020)', 'Shohei Ohtani (15258029)', 'Jake Cronenworth (15258100)', 'Bobby Dalbec (15258279)', 'Jorge Polanco (15258025)', 'Brett Gardner (15258231)', 'Daulton Varsho (15258498)', 'Mike Trout (15257980)']"
4445,"['Max Scherzer (15257957)', 'Kyle Hendricks (15257963)', 'Yasmani Grandal (15258024)', 'Josh Bell (15258155)', 'Luis Urias (15258105)', 'Josh Donaldson (15258175)', 'Francisco Lindor (15258007)', 'Jose Peraza (15258324)', 'Hunter Renfroe (15258151)', 'Jorge Soler (15258074)']"
4446,"['Jose Berrios (15257965)', 'Jordan Montgomery (15257966)', 'Yasmani Grandal (15258024)', 'Josh Bell (15258155)', 'Cesar Hernandez (15258088)', 'Manny Machado (15258022)', 'Francisco Lindor (15258007)', 'Christian Yelich (15258006)', 'Adam Eaton (15258124)', 'Trent Grisham (15258083)']"
4447,"['Max Scherzer (15257957)', 'Adrian Houser (15258614)', 'J.T. Realmuto (15258010)', 'Jose Martinez (15259170)', 'Michael Chavis (15258110)', 'Bobby Dalbec (15258279)', 'Trea Turner (15257986)', 'Franmil Reyes (15258094)', 'Tyler Naquin (15258296)', 'Trent Grisham (15258083)']"
4448,"['Adrian Houser (15258614)', 'Walker Buehler (15258586)', 'Willson Contreras (15258020)', 'Luke Voit (15258071)', 'Jose Peraza (15258324)', 'Jose Ramirez (15258011)', 'Javier Baez (15258058)', 'Ian Happ (15258086)', 'Victor Robles (15258396)', 'Jorge Soler (15258074)']"
4449,"['Jose Berrios (15257965)', 'Kyle Hendricks (15257963)', 'Yasmani Grandal (15258024)', 'Bobby Dalbec (15258279)', 'Adam Frazier (15258194)', 'Jose Ramirez (15258011)', 'Javier Baez (15258058)', 'Justin Upton (15258328)', 'Christian Yelich (15258006)', 'Cody Bellinger (15257984)']"
4450,"['Dinelson Lamet (15257959)', 'Spencer Turnbull (15258611)', 'Roberto Perez (15258281)', 'Luke Voit (15258071)', 'Cesar Hernandez (15258088)', 'Jose Ramirez (15258011)', 'Adalberto Mondesi (15258218)', 'Jurickson Profar (15258158)', 'Eddie Rosario (15258085)', 'Christian Yelich (15258006)']"
4451,"['Adrian Houser (15258614)', 'Kyle Hendricks (15257963)', 'Willson Contreras (15258020)', 'Shohei Ohtani (15258029)', 'Adam Frazier (15258194)', 'DJ LeMahieu (15258035)', 'Francisco Lindor (15258007)', 'Josh Naylor (15258539)', 'Juan Soto (15257981)', 'Daulton Varsho (15258498)']"
4452,"['Walker Buehler (15258586)', 'Dinelson Lamet (15257959)', 'Roberto Perez (15258281)', 'Bobby Dalbec (15258279)', 'Adam Frazier (15258194)', 'Manny Machado (15258022)', 'Javier Baez (15258058)', 'Avisail Garcia (15258163)', 'Eddie Rosario (15258085)', 'Christian Yelich (15258006)']"
4453,"['Adrian Houser (15258614)', 'Max Scherzer (15257957)', 'Jacob Stallings (15258258)', 'Howie Kendrick (15258070)', 'Jake Cronenworth (15258100)', 'Josh Donaldson (15258175)', 'Xander Bogaerts (15258001)', 'Daulton Varsho (15258498)', 'Jorge Soler (15258074)', 'Christian Yelich (15258006)']"
4454,"['Dinelson Lamet (15257959)', 'Kyle Hendricks (15257963)', 'Willson Contreras (15258020)', 'Eric Hosmer (15258062)', 'Jonathan Schoop (15258064)', 'Josh Donaldson (15258175)', 'Javier Baez (15258058)', 'Jorge Soler (15258074)', 'Hunter Renfroe (15258151)', 'Randy Arozarena (15258226)']"
4455,"['Dinelson Lamet (15257959)', 'Adrian Houser (15258614)', 'Willson Contreras (15258020)', 'Carlos Santana (15258097)', 'DJ LeMahieu (15258035)', 'Josh Donaldson (15258175)', 'Javier Baez (15258058)', 'Max Kepler (15258061)', 'Jorge Soler (15258074)', 'Daulton Varsho (15258498)']"
4456,"['Adrian Houser (15258614)', 'Dinelson Lamet (15257959)', 'Willson Contreras (15258020)', 'Colin Moran (15258136)', 'Adam Frazier (15258194)', 'Bobby Dalbec (15258279)', 'Javier Baez (15258058)', 'Christian Yelich (15258006)', 'Max Kepler (15258061)', 'Adam Frazier (15258194)']"
4457,"['Jose Berrios (15257965)', 'Zack Wheeler (15257960)', 'Austin Romine (15258143)', 'Shohei Ohtani (15258029)', 'Tyler Wade (15258388)', 'Bobby Dalbec (15258279)', 'Francisco Lindor (15258007)', 'Mike Trout (15257980)', 'Max Kepler (15258061)', 'Jorge Soler (15258074)']"
4458,"['Jose Berrios (15257965)', 'Kyle Hendricks (15257963)', 'Kurt Suzuki (15258087)', 'Mitch Moreland (15258080)', 'Jonathan Schoop (15258064)', 'DJ LeMahieu (15258035)', 'Francisco Lindor (15258007)', 'Victor Robles (15258396)', 'Max Kepler (15258061)', 'Christian Yelich (15258006)']"
4459,"['Triston McKenzie (15257970)', 'Max Scherzer (15257957)', 'Roberto Perez (15258281)', 'Eric Hosmer (15258062)', 'Jonathan Schoop (15258064)', 'Rafael Devers (15257998)', 'Javier Baez (15258058)', 'Christian Yelich (15258006)', 'Avisail Garcia (15258163)', 'Ian Happ (15258086)']"
4460,"['Jose Berrios (15257965)', 'Triston McKenzie (15257970)', 'Gary Sanchez (15258079)', 'Cody Bellinger (15257984)', 'Jose Peraza (15258324)', 'Manny Machado (15258022)', 'Adalberto Mondesi (15258218)', 'J.D. Martinez (15258003)', 'Ian Happ (15258086)', 'Cody Bellinger (15257984)']"
4461,"['Jose Berrios (15257965)', 'Max Scherzer (15257957)', 'Omar Narvaez (15258140)', 'Mitch Moreland (15258080)', 'Jose Peraza (15258324)', 'Luis Urias (15258105)', 'Xander Bogaerts (15258001)', 'Max Kepler (15258061)', 'Mike Trout (15257980)', 'Delino DeShields (15258515)']"
4462,"['Adrian Houser (15258614)', 'Max Scherzer (15257957)', 'Willson Contreras (15258020)', 'Luke Voit (15258071)', 'Cesar Hernandez (15258088)', 'Josh Donaldson (15258175)', 'Willy Adames (15258089)', 'Trent Grisham (15258083)', 'Christian Yelich (15258006)', 'Victor Robles (15258396)']"
4463,"['Triston McKenzie (15257970)', 'Kyle Hendricks (15257963)', 'Gary Sanchez (15258079)', 'Jose Martinez (15259170)', 'Jonathan Schoop (15258064)', 'Manny Machado (15258022)', 'Javier Baez (15258058)', 'Wil Myers (15258127)', 'Trent Grisham (15258083)', 'Juan Soto (15257981)']"
4464,"['Max Scherzer (15257957)', 'Walker Buehler (15258586)', 'Daulton Varsho (15258498)', 'Mitch Moreland (15258080)', 'Luis Urias (15258105)', 'Bobby Dalbec (15258279)', 'Kevin Newman (15258129)', 'Christian Yelich (15258006)', 'Cody Bellinger (15257984)', 'Daulton Varsho (15258498)']"
4465,"['Dinelson Lamet (15257959)', 'Spencer Turnbull (15258611)', 'Kurt Suzuki (15258087)', 'Josh Bell (15258155)', 'Adam Frazier (15258194)', 'Jose Ramirez (15258011)', 'Adalberto Mondesi (15258218)', 'J.D. Martinez (15258003)', 'Max Kepler (15258061)', 'Franmil Reyes (15258094)']"
4466,"['Jose Berrios (15257965)', 'Walker Buehler (15258586)', 'Yasmani Grandal (15258024)', 'Luke Voit (15258071)', 'Adam Frazier (15258194)', 'Josh Donaldson (15258175)', 'Francisco Lindor (15258007)', 'Victor Reyes (15258186)', 'Randy Arozarena (15258226)', 'Christian Yelich (15258006)']"
4467,"['Kyle Hendricks (15257963)', 'Dinelson Lamet (15257959)', 'Kurt Suzuki (15258087)', 'Cody Bellinger (15257984)', 'Jake Cronenworth (15258100)', 'Bobby Dalbec (15258279)', 'Francisco Lindor (15258007)', 'Daulton Varsho (15258498)', 'Avisail Garcia (15258163)', 'Max Kepler (15258061)']"
4468,"['Max Scherzer (15257957)', 'Jose Berrios (15257965)', 'Willson Contreras (15258020)', 'Howie Kendrick (15258070)', 'Michael Chavis (15258110)', ""Ke'Bryan Hayes (15258566)"", 'Willy Adames (15258089)', 'Byron Buxton (15258139)', 'Shohei Ohtani (15258029)', 'Max Kepler (15258061)']"
4469,"['Dinelson Lamet (15257959)', 'Max Scherzer (15257957)', 'Gary Sanchez (15258079)', 'Bobby Dalbec (15258279)', 'Kevin Newman (15258129)', 'Bobby Dalbec (15258279)', 'Trea Turner (15257986)', 'Christian Yelich (15258006)', 'Daulton Varsho (15258498)', 'Franmil Reyes (15258094)']"
4470,"['Jose Berrios (15257965)', 'Adrian Houser (15258614)', 'Willson Contreras (15258020)', 'Luke Voit (15258071)', 'Cesar Hernandez (15258088)', 'Josh Donaldson (15258175)', 'Xander Bogaerts (15258001)', 'Ben Gamel (15258252)', 'Wil Myers (15258127)', 'Mookie Betts (15257977)']"
4471,"['Kyle Hendricks (15257963)', 'Dinelson Lamet (15257959)', 'Omar Narvaez (15258140)', 'Howie Kendrick (15258070)', 'Jose Peraza (15258324)', 'Jose Ramirez (15258011)', 'Trea Turner (15257986)', 'Brett Gardner (15258231)', 'Trent Grisham (15258083)', 'Aaron Hicks (15258148)']"
4472,"['Triston McKenzie (15257970)', 'Walker Buehler (15258586)', 'Jacob Stallings (15258258)', 'Carlos Santana (15258097)', 'Jose Peraza (15258324)', 'Maikel Franco (15258137)', 'Javier Baez (15258058)', 'Juan Soto (15257981)', 'Max Kepler (15258061)', 'Cody Bellinger (15257984)']"
4473,"['Jose Berrios (15257965)', 'Adrian Houser (15258614)', 'Kevan Smith (15258191)', 'Shohei Ohtani (15258029)', 'Luis Urias (15258105)', 'Manny Machado (15258022)', 'Adalberto Mondesi (15258218)', 'Christian Yelich (15258006)', 'J.D. Martinez (15258003)', 'Trent Grisham (15258083)']"
